id;code;name;description;address;primary_phone_number;secondary_phone_number;tax_id_number
d7be24fb-a2ff-4d92-98ac-175615e1c18f;gift pacemaker futon;cripple who outrun;nor;redound silent airline;behind in quaintly;dim um gosh;often impostor
d07ea957-b88d-4ef6-a5eb-126dfea2c739;ouch quick-witted;scarily;thoughtfully flat questionably;furthermore;indeed;those boo duh;than dimly
d4b401a1-75d9-48d8-8717-93cbb8250446;certify;catalyze ugh however;woot stool brand;costume frankly qua;guilt;than;nicely
0357af64-abbf-4c48-bb56-2b1c2475c54c;awkwardly intensely creative;minister;rusty;anenst formula meh;sweet pish;unimpressively grounded;lest live
c0ab3752-cd7c-4f9c-989d-1a26007fcaaf;task;duh deliquesce;per recklessly provided;platypus majestic;sign chairperson;owlishly awareness except;whole ah disapprove
74b3eed3-2430-42e4-9c7e-95aaea37904d;ornate;aftermath;reorganisation obesity quiet;fooey;salty however;deadly infamous;openly cow wholly
60400065-78e6-4196-8cd4-e7886524c938;downright;cod including;greedy vary;what;antelope provided truly;the harmful;given above fluff
59af5314-b00c-47fb-9505-22d2034299b3;anti major;wallop via rundown;whoever;however alienated bolster;allocation;far;cautiously or
63008657-0dde-4b26-909a-0dabba39e12b;boldly forenenst pfft;countess deafening;hastily executor;ick supposing er;yippee enraged quaintly;as;to
79ca96f7-c915-4b44-b865-4544f30e47c0;unimpressively very;despite whereas husk;obscure;whenever despite;enlightened bashfully;bind sheathe abandoned;yuck midst
