id;name;title;description;type;manufacturer;model;serial_number;voltage_class;phase_type;start_date;latitude;longitude;plant_id
027df61c-2828-48e4-b622-5e9072e9f455;cinch reprove disapprove;singe furthermore midst;pronoun gradient;METAL_CLAD_SWITCHGEAR;instead;deliquesce yuck;where chainstay;20123.76;PHASE_C;2025-11-07;24561.57;9866.15;b0f4aea9-5a9a-4ade-bb6c-447786002471
98aadd41-d7fb-4f0c-83d4-08f8c1a49c18;indeed primary;outstanding throughout;qua;PROTECTION_CONTROL_PANEL;dwell brr dearly;burgeon antelope chatter;snuggle respectful;20253.87;NEUTRAL;2025-11-07;12721.81;23442.06;59fba23b-d519-4872-bf13-45883f1ca12c
f19024b0-d667-403d-8e53-c7c83904a923;or tinderbox;outset;curl dally minister;CIRCUIT_BREAKER;scram begonia aged;sign;uh-huh conceptualize blah;20583.18;PHASE_C;2025-11-07;19325.52;5293.24;23e29c5d-3577-4114-bd0e-ec4b58f555ee
b75a0f7d-2264-4323-b108-6c6854688829;inexperienced;dock sonnet how;gallery;SYNCHRONOUS_CONDENSER;during;down athletic;hm since;29414.31;PHASE_C;2025-11-06;7048.41;22297.28;d857a742-7c4f-4e78-8f17-7ad1d975c7fd
99d7d6fb-8915-4ad9-a207-bfba586db37e;failing sparse amid;jet cautious hmph;retool;BUSHING;atrium;throughout;hmph whether;1113.92;GROUND;2025-11-06;23746.75;31453.12;7d0b4021-daba-4726-a1ea-a72f97243d98
a4c8c6f4-5e7f-4f9e-8a1e-bd0c5ae5fffa;mutate glorious or;around sweatshop longingly;yum surprised the;METAL_CLAD_SWITCHGEAR;log consequently staid;modulo;mesh medium nor;14433.02;PHASE_A;2025-11-07;23802.29;4614.42;067bf237-ea98-4304-8e53-de8b05cabf9d
b665874b-4737-4864-bc68-755f7526bc15;ignorance;pave yum;and gah;ELECTRICAL_PANEL;solder;commonly never upwardly;taxicab;26219.28;PHASE_B;2025-11-07;14118.41;3105.38;3f3829db-dcc2-4373-b87a-a2db8cb38f34
10b0bc56-bfb8-4697-9e6f-78c03106991b;behold usually;huzzah reconstitute towards;huzzah unaccountably rotten;RECTIFIER;miserably;since phooey;inasmuch;19851.77;NEUTRAL;2025-11-06;27204.03;14310.64;83fcd046-5148-4168-9fbb-393c3586db1b
1903647c-67fb-48c2-a874-de2dd9574106;geez self-assured ack;athwart aw;design aw ravel;PROTECTION_SYSTEM;ew;fooey;opposite nicely backbone;6268.17;PHASE_B;2025-11-06;8572.9;27698.76;fcd3a094-8ee2-49b8-ac48-5997c21dac47
0000c82b-f6f3-4843-b5e4-a7677b8fc18b;including;and easily;tool ameliorate;CAPACITIVE_VOLTAGE_TRANSFORMER;outflank yahoo happily;soybean ferret drag;technician while unselfish;9091.14;NEUTRAL;2025-11-06;24499.41;12264.06;ccdca9bc-b9f2-4838-8ec0-2a7ca42fa1ee
