id;name;title;description
96c223f4-51f0-4682-a186-779d61dbbbaf;deplore or disapprove;shrill adventurously;ouch deeply
1a66cd07-a3ec-41bc-9fcb-96751b0204c4;hasty negotiation zowie;forage inject guilt;yowza compete
b466ccf9-e41a-4c2c-851d-3f286089d2b2;lashes consign;uh-huh;liberalize and
b5848f1a-dc3e-4e27-ad49-df8d578e3eec;furthermore;darn;after cantaloupe
c2766864-515a-4205-81e5-8fd650306f3a;as;grown woot;out remark
1e2dfa1e-97b6-41a3-9abb-1fe0a088cdad;majestically ha;eggplant buzzing corner;circa huzzah before
61d5a105-ae88-4a20-b0e6-45348c58a0b4;upon who;until;sheathe
189a0dd6-47e1-4d14-8766-1da73c1453d5;while markup accompany;aircraft premeditation;ornery
b53fa89a-8095-453f-b1db-f182d2a6904c;if bemuse;surge;unless
b8e12fbe-49a6-4d54-8544-cc4b0b3d1944;ack;stiffen exhaust ugh;narrow
