id;name;title;description
5f332626-ae58-42f6-be01-d67fb7208ebb;ascertain deprave;um petal;phooey
23b74b35-85e7-4e2b-b497-a1734778142c;too what;boohoo;onto surge
24a04f1a-338f-48ae-b84e-6171ebcd903c;draft restaurant fairly;versus kookily failing;woot
e9e406ff-9701-4c34-8818-b867d6b1f702;solemnly gurn winged;hungry whoa;next before readies
ee516004-75c9-4ac7-90cd-7d32c1aaf1c5;tightly;creator;powerfully shush safely
2e467921-9202-4cf1-97ef-1edbef4cb13c;print depot;aside;abnormally passport toward
48a74f91-a01f-40f3-9a36-89c89b63cac8;gah kindheartedly remorseful;list zesty gigantic;buttery judgementally
d796e954-5975-4426-8769-d036fcc4be4a;tremendously midst eek;fortunately fledgling;fruitful frantically opposite
3c0d1ced-f37c-4359-863b-057860f9beda;provided;jacket always;midst phew
9a742067-9652-448e-bfe4-a4a5296af7cb;gadzooks;versus carelessly eek;stormy agreeable duh
