id;code;language;name
5536b63b-35c5-47e8-8e3a-a973a6b87ba1;DISCONNECT_SWITCH;gosh;geez modulo politely
d457d879-e8cb-413c-8d87-1ef459d7f38c;CAPACITIVE_VOLTAGE_TRANSFORMER;yippee how;reproachfully following
97f96d5f-b3e2-45cf-8272-263d409edfe4;CIRCUIT_BREAKER;across preside admired;anxiously baritone
509ac2b5-a21c-4ac0-950f-76e0d372f8eb;DISCONNECT_SWITCH;geez opposite seal;though aside
8dcbcc40-1773-4db8-9531-e187aa573d51;STATIC_COMPENSATOR;advocate;yellow grouchy
476c80a6-3e23-49f5-88e2-38ca0e261a74;RECTIFIER;ectoderm rue clinch;upside-down louse yieldingly
40529a29-3729-408b-8bf9-936ce90674fe;SHUNT_REACTOR;fly vainly;where freely lamp
88b1dc8a-9e46-4db3-a2a9-c954d5d588a3;POWER_TRANSFORMER;triumphantly whup hold;joint
d89b46ba-60e0-4fad-87f0-6f6b4c1740be;METAL_CLAD_SWITCHGEAR;version some scowl;essential pace
9b41be04-0b5f-4d98-84d9-c8f8afd2a7be;SERIES_COMPENSATOR;gah wherever quarrelsomely;with unit
