id;code;name;description;maintenance_plan;periodicity;duration;expected_start_date;created_at;plant_id;created_by_id
92769f66-8367-4253-9664-a9730b417628;bookend conservation;amongst tectonics cooperative;absolve;phew furthermore;ANNUAL;23429;2025-11-07;2025-11-06T18:59:08;b0f4aea9-5a9a-4ade-bb6c-447786002471;78f1ad19-2fc9-472b-8552-8cfe904091e7
d78e7b29-a3d1-4d3e-bbf7-1f019d2930ae;plus;carouse although accountability;sparse that;harvest qua boo;QUARTERLY;22890;2025-11-06;2025-11-07T01:52:39;59fba23b-d519-4872-bf13-45883f1ca12c;1ba721cd-8190-4200-ba39-50dfb2dca9f6
6a8f50b2-be94-4386-acfb-cf7a3608fc3d;mature;likewise;solace instead unexpectedly;provided to;MONTHLY;29237;2025-11-07;2025-11-07T03:00:49;23e29c5d-3577-4114-bd0e-ec4b58f555ee;b9068a63-7533-4270-b293-686a36f10b23
6fbb4aa7-c9d4-4c59-a3d0-b6efc517eda0;snoopy where;whenever;colonialism pecan;whoa;ANNUAL;29650;2025-11-07;2025-11-07T02:56:25;d857a742-7c4f-4e78-8f17-7ad1d975c7fd;c071e7b9-6291-4f7a-9037-548f37392bf3
1dac7b6b-d8a7-409b-8e51-0bcc0092940b;immaculate whereas overconfidently;truly quicker midst;knowingly longingly;delete handful;MONTHLY;27995;2025-11-06;2025-11-06T18:53:07;7d0b4021-daba-4726-a1ea-a72f97243d98;0d3a899c-d9bd-4149-8a49-046fe189993d
4f632ed6-7b56-46fb-8b09-40925a1fb963;haul;yippee case;unlike;why;MONTHLY;10806;2025-11-07;2025-11-07T09:40:20;067bf237-ea98-4304-8e53-de8b05cabf9d;f48a5f9e-d08a-4c75-bc3d-44d29553d919
6d0d6d9c-1d4c-409e-8845-8b423b048869;trek lonely phooey;consequently;lavish;variable;SEMI_ANNUAL;7230;2025-11-06;2025-11-06T23:05:18;3f3829db-dcc2-4373-b87a-a2db8cb38f34;6e2426cd-0025-4524-acc4-1b0ac1ce4c75
120a9e20-0c3c-4813-a8bf-fdc917069daf;submitter nor;casement glass;soliloquy;speedily dusk punctuation;MONTHLY;20834;2025-11-06;2025-11-07T03:17:46;83fcd046-5148-4168-9fbb-393c3586db1b;5ae37517-26e7-4785-945b-c6d7f1edb0c5
e97f92e6-b631-458a-b68d-3b0e8e197a65;unless;aw;outside mmm;dimly inasmuch;ANNUAL;23313;2025-11-06;2025-11-06T23:25:00;fcd3a094-8ee2-49b8-ac48-5997c21dac47;918c1483-246a-4abb-9705-35536769f512
374d78a1-5319-4c43-8d6e-f0a3613e55f6;untimely;vacantly supposing;anenst adventurously boo;bossy;MONTHLY;15672;2025-11-06;2025-11-06T16:32:25;ccdca9bc-b9f2-4838-8ec0-2a7ca42fa1ee;27ba14f0-cff0-44d5-af63-967c4a2442ac
