id;code;name;description;maintenance_document;created_at;expected_start_date;expected_end_date;started;started_at;finished;finished_at
0be78cb4-d220-4b0b-9398-f5d0823812a2;unused now stigmatize;treasure which;wealthy frizzy super;mispronounce;2025-11-21T09:26:55;2025-11-20;2025-11-20;true;2025-11-21T09:25:54;true;2025-11-20T23:02:49
fca916c8-6478-4702-8f9b-43cd4a5cc672;wrongly;hoarse whereas wonderfully;paltry;until;2025-11-21T09:18:47;2025-11-21;2025-11-21;true;2025-11-21T03:36:52;true;2025-11-21T06:30:36
f087d9d7-0e4a-4374-8171-f926fe8a010a;irritably sandbar;hope partially;angle screw insist;absentmindedly revere duh;2025-11-21T00:01:02;2025-11-20;2025-11-20;false;2025-11-20T19:40:39;true;2025-11-20T11:24:52
81b91024-8067-4651-b384-749702c3b088;alongside;stratify underachieve;persecute as;until;2025-11-20T19:57:14;2025-11-21;2025-11-20;true;2025-11-21T03:27:52;false;2025-11-20T13:42:23
f310c90e-c2f3-41c2-b9c6-8e1496b8ec90;blah left athwart;except;onto;jacket;2025-11-20T13:38:05;2025-11-20;2025-11-20;true;2025-11-21T09:52:43;true;2025-11-20T14:57:51
99cbbb20-1f25-44ea-b843-ca9f3c458849;finally;satirize;why;er;2025-11-20T20:57:34;2025-11-21;2025-11-21;true;2025-11-21T07:06:23;false;2025-11-21T02:15:09
6e1a9193-3cb5-492f-923f-150142ac0438;monthly;ouch chapel;beside ah provision;whenever for husk;2025-11-21T03:14:05;2025-11-20;2025-11-21;true;2025-11-20T13:13:48;true;2025-11-20T18:19:56
3f0273fa-a868-4fe1-86f4-51d3b69eb769;innocent;rue supportive ugh;worthless huzzah;as labourer shush;2025-11-20T23:37:17;2025-11-20;2025-11-20;true;2025-11-20T11:48:19;false;2025-11-20T20:48:41
78b26385-87b4-4b9c-a79e-e86e439d888a;revoke above;pfft;astride;rout below shadowy;2025-11-20T23:39:40;2025-11-21;2025-11-21;false;2025-11-20T15:24:17;false;2025-11-20T19:02:23
15bc662d-ffdc-4472-9358-90bae10c83fd;worth;grizzled hunger even;delirious muted;from;2025-11-20T21:17:28;2025-11-20;2025-11-21;true;2025-11-21T09:52:07;true;2025-11-21T00:31:20
