id;code;name;description;latitude;longitude;start_date
b0f4aea9-5a9a-4ade-bb6c-447786002471;oily vice;zowie consequently declaration;fund daintily dispose;9504.48;8943.43;2025-11-06
59fba23b-d519-4872-bf13-45883f1ca12c;gnash;whenever beyond trench;athwart gifted;28448.26;21760.79;2025-11-06
23e29c5d-3577-4114-bd0e-ec4b58f555ee;militate provided;ack essential ick;modulo equatorial sell;16381.38;3239.07;2025-11-07
d857a742-7c4f-4e78-8f17-7ad1d975c7fd;fund hm metallic;silt afore;while;11628.19;5194.93;2025-11-07
7d0b4021-daba-4726-a1ea-a72f97243d98;mostly complication;veg apropos ack;ligate whose;7527.41;21799.56;2025-11-06
067bf237-ea98-4304-8e53-de8b05cabf9d;beneath whether yet;militate ha;reflecting;10230.19;14533.16;2025-11-07
3f3829db-dcc2-4373-b87a-a2db8cb38f34;unique but;whether ethyl why;motor drowse ceramic;14706.14;8497.71;2025-11-06
83fcd046-5148-4168-9fbb-393c3586db1b;spook;knife;papa although brr;4377.24;26407.47;2025-11-07
fcd3a094-8ee2-49b8-ac48-5997c21dac47;plugin on finally;shakily;requirement who;2404.94;14148.22;2025-11-07
ccdca9bc-b9f2-4838-8ec0-2a7ca42fa1ee;wholly irk;loudly;uh-huh pilot;19442;7651.83;2025-11-07
