id;name;deadline;deadline_unit;periodicity;periodicity_unit;recommendations
32f91d2c-a729-41a4-8b21-13c5203114fe;acceptable naughty oh;25579;MONTH;1103;YEAR;functional
bdf9478d-e515-42d4-9d53-380fbcdf4e03;dead;4363;WEEK;3531;MONTH;wherever highly likewise
2249b2ce-ede6-4254-8af9-158d1cc0f8ed;horn oof instead;24571;DAY;16973;MONTH;providence
ce3784ea-615d-4a03-a912-d23a21c36bd2;inasmuch know;5462;YEAR;27224;MONTH;unlike
ce957c57-cf94-498a-9069-299ce38def88;tangible beneath gurn;31797;YEAR;17051;WEEK;qua supposing
a929eb9e-ccb4-4693-b0b8-e511c46afc2a;bad;1412;WEEK;8239;YEAR;yippee ah
a45a64b5-cfe8-4690-83aa-cfbdcdf67d15;amused ew that;30301;HOUR;22944;DAY;quarrelsome bogus serve
01b4a764-9895-4390-a971-665f5e39631e;terrible custody ha;5423;DAY;16494;DAY;voluntarily
f43e8795-145a-463b-abf2-ea841e5ded23;of after rule;14412;WEEK;17552;WEEK;yippee provided
843eb857-9f14-4f49-9a62-67d5aa1e7cf0;indeed;29553;YEAR;25407;DAY;nor wetly window
