id;type;label;max_temp;thermogram_id
3f6b38b4-bac0-4abd-a09b-0ef63b3d5ea7;immediate eek limply;furthermore custody blue;9944.02;529340f4-08de-4e29-a18c-302d5f15de0d
2686a2bd-0593-4b34-90c0-eeeb59e51c2c;wrongly;lazy sinful;14071.37;4f2dd5d2-9ee5-4393-b33e-cd8935eba6bb
e3fc43d4-30b4-492a-9597-144500173f5b;absent;too;23874.49;f38d5da2-a5c7-4540-95d4-7f0c31c1ed1b
fdae9d00-b7e4-4ebe-b760-09c60d3caac6;wedding;outstanding flood;30998.84;ae565002-02c2-4a29-858e-7836101b12b2
5a684e00-8c6b-468c-a774-bf0868e862bb;inasmuch evince;vibraphone;24554.36;97e88d08-7a06-4451-bd36-edd586adc1e4
930fbc9a-0aa3-4f44-870d-0bb9a7b48581;entry;brr arcade failing;32554.86;87a79e0f-0941-4f1b-81e6-1784720a76ef
ce5fd3ca-0f8c-4cb6-bd42-ffaff0d8b218;badly usable;by ravage;24526.11;a9f85d35-2f44-453e-9f67-ee03e75b89c7
2f49a4f5-f482-4c5b-bc58-44fd439e9246;volunteer miserly;over gah teriyaki;16614.26;647efc1c-c3a1-4488-9e1b-1d16c1634e20
20a2d437-1668-429e-a53d-ab0dbe7bad82;over deck;miserably;13624.54;32b5d3f8-1a68-4f8a-8cc9-820b07a9c699
e55aae0a-2423-4dc8-9e4b-775b1e0278fa;affiliate;uh-huh for;25881.34;09b34fac-e418-4cb7-a6f2-19495a191a81
