id;image_path;audio_path;image_ref_path;min_temp;avg_temp;max_temp;emissivity;subject_distance;atmospheric_temp;reflected_temp;relative_humidity;camera_lens;camera_model;image_resolution;selected_roi_id;max_temp_roi;created_at;latitude;longitude;equipment_id;created_by_id
529340f4-08de-4e29-a18c-302d5f15de0d;tinderbox above apropos;catalyst and triangular;hm when tabulate;28333.13;10520.07;17798.18;27637.12;6142.81;22965.76;31582.53;20015.42;snow airmail;aboard never;extremely glaring ingratiate;7a1bcd56-b9b0-452b-be86-d57c671b518c;684.4;2025-11-07T04:45:39;9327.88;22777.21;027df61c-2828-48e4-b622-5e9072e9f455;78f1ad19-2fc9-472b-8552-8cfe904091e7
4f2dd5d2-9ee5-4393-b33e-cd8935eba6bb;soupy aw tiny;cumbersome;what;24723.41;28432.01;19338.01;24035.32;21764.28;24128.65;13964.64;2126.84;conclude;welcome;how gummy;19ff56fd-e953-4bb3-8221-ee82db042e2c;10424.46;2025-11-06T17:50:28;16908.9;10613.47;98aadd41-d7fb-4f0c-83d4-08f8c1a49c18;1ba721cd-8190-4200-ba39-50dfb2dca9f6
f38d5da2-a5c7-4540-95d4-7f0c31c1ed1b;marksman;hungrily;lovely overconfidently because;19814.68;13359.36;612.26;32516.44;25423.3;5043.24;9502.6;21444.21;aha;so golden;gosh;0530612f-8af2-4cf9-8426-447b631de7c2;12910.21;2025-11-06T22:26:57;9236.34;182.94;f19024b0-d667-403d-8e53-c7c83904a923;b9068a63-7533-4270-b293-686a36f10b23
ae565002-02c2-4a29-858e-7836101b12b2;poppy;inventory helpful excitedly;while;22276.77;22370.59;29288.6;16832.12;30050.99;4584.42;11560.55;32730.91;now lest of;husky;qua since onto;92024f78-891c-4bfe-b84d-fc91cdf3385f;32716.24;2025-11-06T13:19:32;17930.13;26975.01;b75a0f7d-2264-4323-b108-6c6854688829;c071e7b9-6291-4f7a-9037-548f37392bf3
97e88d08-7a06-4451-bd36-edd586adc1e4;especially if drat;seldom who across;elver far;218.62;14808.96;2826.24;19742.19;30459.84;17007.17;18223.32;26630.15;citizen glisten;naturally;fooey;114f4a9b-2831-4cd2-96a7-8b47fef4dab7;7473.15;2025-11-07T09:07:17;924.3;9627.52;99d7d6fb-8915-4ad9-a207-bfba586db37e;0d3a899c-d9bd-4149-8a49-046fe189993d
87a79e0f-0941-4f1b-81e6-1784720a76ef;wolf galoshes internalize;reword;noted aboard;14376.34;26750.98;4027.18;25433.75;28763.91;31117.12;11011.37;6958.52;narrate goodwill;foolishly;emphasise trolley who;e8a5e6c9-d273-4202-ac66-bfeae01b032f;21713.12;2025-11-06T19:42:41;19506.05;25926.77;a4c8c6f4-5e7f-4f9e-8a1e-bd0c5ae5fffa;f48a5f9e-d08a-4c75-bc3d-44d29553d919
a9f85d35-2f44-453e-9f67-ee03e75b89c7;excepting underplay;daddy zowie;indeed though;31868.01;5473.65;4340.77;7360.54;31380.11;31537.84;1983.5;2037.84;off um;boo midst relative;once fond recovery;e6c20470-c523-4e54-b777-de9c1e8a15a4;19721.24;2025-11-06T14:01:48;15634.08;4081.17;b665874b-4737-4864-bc68-755f7526bc15;6e2426cd-0025-4524-acc4-1b0ac1ce4c75
647efc1c-c3a1-4488-9e1b-1d16c1634e20;cinder deceivingly;tomography whose;yesterday drab;15118.6;15387.1;30290.28;28871.81;25696.43;27479.06;600.32;29582.78;psst;submitter intellect solder;young yippee anenst;7a02123e-91e2-4907-8f46-e00af13fbb63;15998.21;2025-11-06T19:56:19;10900.06;9820.48;10b0bc56-bfb8-4697-9e6f-78c03106991b;5ae37517-26e7-4785-945b-c6d7f1edb0c5
32b5d3f8-1a68-4f8a-8cc9-820b07a9c699;apropos;gosh entry outside;at;4673.35;27496.67;28763.41;10212.51;8991.63;30422.62;29373.85;3432.63;octave;out decriminalize carelessly;place stormy jealously;58e01f3a-c517-4e32-8b8d-21583be19e6b;13776.1;2025-11-06T17:44:41;16295.08;15376.49;1903647c-67fb-48c2-a874-de2dd9574106;918c1483-246a-4abb-9705-35536769f512
09b34fac-e418-4cb7-a6f2-19495a191a81;editor kiddingly battle;duh via ew;overcooked;11724.17;32121.1;932.91;25345.72;15094.73;13780.62;19698.12;22034.7;yahoo makeover whether;unbearably;destock;5ff3b6c1-b871-49dc-9cf4-6c6e9c3d18d7;4982.63;2025-11-07T09:42:31;1470.45;22227.34;0000c82b-f6f3-4843-b5e4-a7677b8fc18b;27ba14f0-cff0-44d5-af63-967c4a2442ac
