id;name;type;service_order;created_at;analysis_description;condition;delta_t;periodicity;deadline_execution;next_monitoring;recommendations;finished;finished_at;plant_id;equipment_id;created_by_id;finished_by_id;thermogram_id
1732810f-f45c-41a7-9c56-0df85f39b7a3;proper tromp;ANOMALY_INITIAL;victorious;2025-11-06T20:17:21;desk ick;LOW_RISK;32373.01;791;2025-11-07;2025-11-06;magnetize athwart;false;2025-11-07T10:41:40;b0f4aea9-5a9a-4ade-bb6c-447786002471;027df61c-2828-48e4-b622-5e9072e9f455;78f1ad19-2fc9-472b-8552-8cfe904091e7;78f1ad19-2fc9-472b-8552-8cfe904091e7;529340f4-08de-4e29-a18c-302d5f15de0d
53a34d19-0287-4839-b4c2-bbf282850ea1;for although machine;ANOMALY_MONITORING;aha;2025-11-07T09:25:28;nicely manipulate;MEDIUM_RISK;11553.58;8106;2025-11-07;2025-11-06;quicker manage huff;true;2025-11-06T19:51:21;59fba23b-d519-4872-bf13-45883f1ca12c;98aadd41-d7fb-4f0c-83d4-08f8c1a49c18;1ba721cd-8190-4200-ba39-50dfb2dca9f6;1ba721cd-8190-4200-ba39-50dfb2dca9f6;4f2dd5d2-9ee5-4393-b33e-cd8935eba6bb
d4b4f2b6-0c06-4282-bb1d-0f6270e90e4c;floss;NO_ANOMALY;lest disclosure;2025-11-06T17:36:32;whereas until;NORMAL;28704.89;32324;2025-11-07;2025-11-07;pretend;true;2025-11-06T14:12:51;23e29c5d-3577-4114-bd0e-ec4b58f555ee;f19024b0-d667-403d-8e53-c7c83904a923;b9068a63-7533-4270-b293-686a36f10b23;b9068a63-7533-4270-b293-686a36f10b23;f38d5da2-a5c7-4540-95d4-7f0c31c1ed1b
9e041532-9478-4717-975f-12dbaecb79b6;yippee;ANOMALY_MONITORING;indeed usable after;2025-11-07T05:09:27;geez retract;MEDIUM_RISK;29556.45;20536;2025-11-06;2025-11-07;tempting;true;2025-11-07T02:23:30;d857a742-7c4f-4e78-8f17-7ad1d975c7fd;b75a0f7d-2264-4323-b108-6c6854688829;c071e7b9-6291-4f7a-9037-548f37392bf3;c071e7b9-6291-4f7a-9037-548f37392bf3;ae565002-02c2-4a29-858e-7836101b12b2
fa328d9d-b106-46d5-8dd5-7fb36c59ea41;ha platter welcome;ANOMALY_SOLVED;boohoo unto of;2025-11-07T11:01:34;unless folklore;LOW_RISK;14898.91;16064;2025-11-07;2025-11-06;but pace;true;2025-11-07T09:43:49;7d0b4021-daba-4726-a1ea-a72f97243d98;99d7d6fb-8915-4ad9-a207-bfba586db37e;0d3a899c-d9bd-4149-8a49-046fe189993d;0d3a899c-d9bd-4149-8a49-046fe189993d;97e88d08-7a06-4451-bd36-edd586adc1e4
73c07a28-ce5b-4d28-8e38-8f0bac2bb78a;intelligent;ANOMALY_SOLVED;whenever;2025-11-07T07:13:06;but down transom;IMMINENT_HIGH_RISK;24036.47;30163;2025-11-07;2025-11-06;knottily shadowy;false;2025-11-06T18:34:55;067bf237-ea98-4304-8e53-de8b05cabf9d;a4c8c6f4-5e7f-4f9e-8a1e-bd0c5ae5fffa;f48a5f9e-d08a-4c75-bc3d-44d29553d919;f48a5f9e-d08a-4c75-bc3d-44d29553d919;87a79e0f-0941-4f1b-81e6-1784720a76ef
890b2342-2058-463c-a08f-61ff2015bdeb;convoke;ANOMALY_INITIAL;deficient travel;2025-11-07T06:41:32;armchair boohoo;MEDIUM_RISK;9666.48;12265;2025-11-06;2025-11-07;dreamily;false;2025-11-06T15:06:42;3f3829db-dcc2-4373-b87a-a2db8cb38f34;b665874b-4737-4864-bc68-755f7526bc15;6e2426cd-0025-4524-acc4-1b0ac1ce4c75;6e2426cd-0025-4524-acc4-1b0ac1ce4c75;a9f85d35-2f44-453e-9f67-ee03e75b89c7
fac872ed-8cc8-41f5-b13a-07d84ba1f58c;stigmatize;ANOMALY_MONITORING;normal;2025-11-06T20:55:50;pension unless;LOW_RISK;31232.13;11711;2025-11-06;2025-11-07;sightseeing pretty throughout;true;2025-11-06T22:53:07;83fcd046-5148-4168-9fbb-393c3586db1b;10b0bc56-bfb8-4697-9e6f-78c03106991b;5ae37517-26e7-4785-945b-c6d7f1edb0c5;5ae37517-26e7-4785-945b-c6d7f1edb0c5;647efc1c-c3a1-4488-9e1b-1d16c1634e20
08213164-61c8-4290-a475-56f9f6ad73b2;SUV ew gee;ANOMALY_MONITORING;enfold why;2025-11-06T16:48:52;goodwill boo interestingly;NORMAL;4513.28;15309;2025-11-07;2025-11-06;worth;true;2025-11-06T16:38:57;fcd3a094-8ee2-49b8-ac48-5997c21dac47;1903647c-67fb-48c2-a874-de2dd9574106;918c1483-246a-4abb-9705-35536769f512;918c1483-246a-4abb-9705-35536769f512;32b5d3f8-1a68-4f8a-8cc9-820b07a9c699
25d40af0-60d4-491b-905f-b952a2669809;a;ANOMALY_INITIAL;damp enchanting reach;2025-11-07T05:39:05;cork expostulate notwithstanding;MEDIUM_RISK;19898.06;22465;2025-11-07;2025-11-07;via;false;2025-11-06T13:38:12;ccdca9bc-b9f2-4838-8ec0-2a7ca42fa1ee;0000c82b-f6f3-4843-b5e4-a7677b8fc18b;27ba14f0-cff0-44d5-af63-967c4a2442ac;27ba14f0-cff0-44d5-af63-967c4a2442ac;09b34fac-e418-4cb7-a6f2-19495a191a81
