EQUIPAMENTOS;SIGLA;COMPONENTES;BAIXO RISCO DELTA T °C ;MÉDIO RISCO DELTA T °C ;ALTO RISCO DELTA T °C ;RISCO IMINENTE DELTA T °C 
Autotransformadores, Transformadores e Reatores de Potência;TF;Topo de Bucha;>2 ≤5;>5 ≤15;>15 ≤25;>25
Autotransformadores, Transformadores e Reatores de Potência;TF;Terminais Topo de Bucha;>5 ≤10;>10 ≤25;>25 ≤50;>50
Autotransformadores, Transformadores e Reatores de Potência;TF;Corpo Bucha;NA;NA;>2 ≤7;>7
Autotransformadores, Transformadores e Reatores de Potência;TF;Conexão Bucha de Neutro;>2 ≤10;>10 ≤25;>25 ≤50;>50
Autotransformadores, Transformadores e Reatores de Potência;TF;Tanques e Tubulações;>2 ≤5;>5 ≤10;>10;NA
Autotransformadores, Transformadores e Reatores de Potência;TF;Tanques de Expansão ;>2 ≤5;>5 ≤10;>10;NA
Autotransformadores, Transformadores e Reatores de Potência;TF;Relé Bolshois;>2 ≤5;>5 ≤10;>10;NA
Autotransformadores, Transformadores e Reatores de Potência;TF;Conexões de Aterramento;>5 ≤10;>10 ≤40;>40;NA
Autotransformadores, Transformadores e Reatores de Potência;TF;Conexões e Componentes Acionamento Comutador;>5 ≤10;>10 ≤30;>30;NA
Transformadores de Corrente;TC;Coluna Isolante ;NA;NA;>2 ≤7;>7
Transformadores de Corrente;TC;Tanque ;>2 ≤5;>5 ≤10;>10;NA
Transformadores de Corrente;TC;Domo (Membrana Volumétrica);>2 ≤5;>5 ≤10;>10;NA
Transformadores de Corrente;TC;Conexões Terminais Primários;>5 ≤10;>10 ≤20;>20 ≤40;>40
Transformadores de Corrente;TC;Conexões Terminais Secundários;>2 ≤5;NA;NA;>5
Transformadores de Corrente;TC;Conexões Aterramento;>5 ≤10;>10 ≤40;>40;NA
Transformadores de Potencial (DCP,TP, TPI, TPC);TP;Colunas Capacitivas ;NA;NA;>2 ≤7;>7
Transformadores de Potencial (DCP,TP, TPI, TPC);TP;Tanque ;>2 ≤5;>5 ≤10;>10;NA
Transformadores de Potencial (DCP,TP, TPI, TPC);TP;Domo (Membrana Volumétrica);>2 ≤5;>5 ≤10;>10;NA
Transformadores de Potencial (DCP,TP, TPI, TPC);TP;Conexões Terminais Primários;>5 ≤10;>10 ≤20;>20 ≤40;>40
Transformadores de Potencial (DCP,TP, TPI, TPC);TP;Conexões Terminais Secundários;>2 ≤5;NA;NA;>5
Transformadores de Potencial (DCP,TP, TPI, TPC);TP;Conexões Aterramento;>5 ≤10;>10 ≤40;>40;NA
Disjuntores;DJ;Conexões Terminais dos Polos;>5 ≤10;>10 ≤30;>30 ≤50;>50
Disjuntores;DJ;Corpo das Câmeras de Contato ;NA;NA;>2 ≤7;>7
Disjuntores;DJ;Capacitores de Equalização;NA;NA;>2 ≤7;>7
Disjuntores;DJ;Resistor Pré Inserção;NA;NA;>2 ≤7;>7
