plant_code,group_code,group_name,subgroup_code,subgroup_name,equipment_code,equipment_name,equipment_description,equipment_type,equipment_manufacturer,equipment_model,equipment_serial_number,equipment_voltage_class,equipment_phase_type,equipment_start_date,equipment_latitude,equipment_longitude
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC500,Módulo MC500,N-S-MAIZ-AT701-MC500-IZDJ702,Disjuntor 500kV,Disjuntor 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,CIRCUIT_BREAKER,LORENZETTI,FA4-525-40,1009.4R.018,500.000,THREE_PHASE,1988-10-31,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC500,Módulo MC500,N-S-MAIZ-AT701-MC500-IZSD703,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,MAGRINI GALILEO,MSA 245/L,139564 A;B;V,500.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC230,Módulo MC230,N-S-MAIZ-AT701-MC230-DJ603-IZSB605,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,MAGRINI GALILEO,MSA 245/L,139609 (A;B;V),230.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC230,Módulo MC230,N-S-MAIZ-AT701-MC230-DJ604-IZDJ604,Disjuntor 230kV,Disjuntor 230kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,CIRCUIT_BREAKER,MAGRINI GALILEO,245MHME-2V,139313,230.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC230,Módulo MC230,N-S-MAIZ-AT701-MC230-DJ604-IZSD606,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,MAGRINI GALILEO,MSA 245/L,139610 (A;B;V),230.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC230,Módulo MC230,N-S-MAIZ-AT701-MC230-DJ604-IZSB608,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,MAGRINI GALILEO,MSA 245/L,139615 (A;B;V),230.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC230,Módulo MC230,N-S-MAIZ-AT701-MC230-DJ603-IZSD605,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,MAGRINI GALILEO,MSA 245/L,139613 (A;B;V),230.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC230,Módulo MC230,N-S-MAIZ-AT701-MC230-DJ603-IZSB606,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,MAGRINI GALILEO,MSA 245/L,139619 (A;B;V),230.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC230,Módulo MC230,N-S-MAIZ-AT701-MC230-DJ604-IZSB607,Chave Seccionadora 230kV,Chave Seccionadora 230kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,MAGRINI GALILEO,MSA 245/L,139617 (A;B;V),230.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-AT500,Módulo AT500,N-S-MAIZ-AT701-AT500-IZAT701,Autotransformador Nº01 500kV,Autotransformador Nº01 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,POWER_TRANSFORMER,NULL,NULL,0,500.000,NULL,2014-02-14,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-MC230,Módulo MC230,N-S-MAIZ-AT701-MC230-DJ603-IZDJ603,Disjuntor 230kV,Disjuntor 230kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,CIRCUIT_BREAKER,SIEMENS,3AP1 FI,5788,230.000,THREE_PHASE,2016-11-10,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-AT500,Módulo AT500,N-S-MAIZ-AT701-AT500-IZST21R,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,ALCALASSER ELETROMECANICA SA,SAMB,,500.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-AT500,Módulo AT500,N-S-MAIZ-AT701-AT500-IZST21V,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,ALCALASSER ELETROMECANICA SA,SAMB,,500.000,THREE_PHASE,1981-11-04,NULL,NULL
N-S-MAIZ,N-S-MAIZ-AT701,Bay 500kV - Autotransformador Nº 01,N-S-MAIZ-AT701-AT500,Módulo AT500,N-S-MAIZ-AT701-AT500-IZST21A,Chave Seccionadora 500kV,Chave Seccionadora 500kV / Bay 500kV - Autotransformador Nº 01 / SE Imperatriz,DISCONNECT_SWITCH,ALCALASSER ELETROMECANICA SA,SAMB,,500.000,THREE_PHASE,1981-11-04,NULL,NULL
